Sender,Receiver
mine,mill
mill,conversion
conversion,civ_enrichment
conversion,mil_enrichment
civ_enrichment,tails
civ_enrichment,civ_fabrication
civ_enrichment,mil_enrichment
civ_enrichment,heu_pu_collector
civ_enrichment,mox_fabricator
tails,mox_fabricator
civ_fabrication,civ_lwr
civ_lwr,civ_spent_storage
civ_lwr,reprocessing
civ_spent_storage,reprocessing
civ_spent_storage,repository
mil_enrichment,tails
mil_enrichment,heu_pu_collector
mil_enrichment,mox_fabricator
reprocessing,civ_spent_storage
reprocessing,heu_pu_collector
reprocessing,mox_fabricator
reprocessing,repository
mox_fabricator,civ_lwr
mox_fabricator,heu_pu_collector
